prid,prilevel
1,"Level 1"
2,"Level 2"
3,"Level 3"
4,"Level 4"
5,"Level 5"
6,"Level 6"
7,"Level 7"
8,"Level 8"
9,"Level 9"
10,"Level 10"
11,"Level 11"
12,"Level 12"
13,"Level 13"
14,"Level 14"
15,"Level 15"
16,"Level 16"
17,"Level 17"
18,"Level 18"
19,"Level 19"
20,"Level 20"
21,"Level 21"
22,"Level 22"
23,"Level 23"
24,"Level 24"
25,"Level 25"
26,"Level 26"
27,"Level 27"
28,"Level 28"
29,"Level 29"
30,"Level 30"
31,"Level 31"
32,"Level 32"
33,"Level 33"
34,"Level 34"
35,"Level 35"
36,"Level 36"
37,"Level 37"
38,"Level 38"
39,"Level 39"
40,"Level 40"
41,"Level 41"
42,"Level 42"
43,"Level 43"
44,"Level 44"
45,"Level 45"
46,"Level 46"
47,"Level 47"
48,"Level 48"
49,"Level 49"
50,"Level 50"
